"GeneID","OPC_I1","OPC_I2","OPC_I3","OPC_I4","OPC_I5","OPC_I6","OPC_I7","OPC_I8","OPC_I9","OPC_I10","MO_I1","MO_I2","MO_I3","MO_I4","MO_I5","MO_I6","MO_I7"
"AL590640.1",0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"AL590640.2",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590644.1",0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0
"AL590644.3",0,0,0,3,1,3,0,0,0,0,1,0,2,0,0,0,0
"AL590648.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590648.2",0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0
"AL590648.3",0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0
"AL590652.1",2,9,10,8,5,1,3,9,11,4,5,1,0,5,3,0,0
"AL590664.1",0,2,0,0,2,3,0,3,2,1,0,0,0,0,0,0,0
"AL590666.1",14,14,32,18,20,11,23,26,26,10,11,5,8,18,21,10,7
"AL590666.2",7,13,15,22,15,12,19,34,14,15,3,0,0,1,0,1,0
"AL590666.3",0,0,0,1,0,2,1,0,0,0,0,0,0,2,0,3,0
"AL590677.1",2,5,8,4,5,1,6,7,11,2,1,1,0,1,0,0,0
"AL590682.1",17,6,13,12,6,7,14,27,31,26,3,3,11,1,7,7,4
"AL590683.1",0,6,17,0,0,1,0,1,1,2,0,0,0,0,0,0,2
"AL590704.1",2,8,10,9,5,6,6,10,5,15,0,0,0,0,0,0,0
"AL590705.1",2,11,5,8,6,19,12,10,53,8,6,4,3,6,2,6,2
"AL590705.2",8,2,3,1,0,3,1,2,9,1,0,0,1,0,0,0,0
"AL590705.3",79,60,123,124,63,110,84,137,163,162,20,4,17,30,8,2,13
"AL590705.4",0,2,0,5,0,1,2,9,3,4,1,2,1,4,2,0,0
"AL590705.5",137,169,300,232,167,187,188,314,333,329,253,199,230,354,266,51,156
"AL590714.1",2,3,1,4,4,3,0,7,2,5,10,6,2,9,11,4,9
"AL590723.1",0,1,0,0,2,0,0,1,1,0,0,1,1,0,2,0,0
"AL590727.1",0,1,1,1,1,3,2,1,6,1,2,0,7,1,0,0,1
"AL590729.1",1,2,0,0,0,0,5,1,1,3,0,1,0,0,2,0,4
"AL590730.1",0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1
"AL590762.1",0,0,2,1,1,0,1,0,3,0,0,0,0,1,0,1,0
"AL590762.2",0,0,5,3,0,0,0,3,0,4,0,1,0,4,0,5,0
"AL590762.3",0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,2,0
"AL590762.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590763.1",0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0
